building_or_sheet,sheet,n_points,ahu_like,terminal_like,btu_like,chw_like,cooling_meter_like,energy_meter_like,water_word_like,flow_like,meter_word_like
ALL,All points,11457,5001,4409,311,451,65,1970,237,207,606
OTHER,OTHER,3983,1618,1191,95,149,27,691,183,76,550
COM2,COM2,978,815,793,0,0,0,3,0,0,0
BIZ2,BIZ2,1082,779,867,0,9,0,3,2,0,0
MD1,MD1,1385,776,65,59,179,3,383,0,67,0
COM1,COM1,960,729,624,0,15,0,3,8,4,0
MD6,MD6,264,113,0,10,17,3,86,10,10,17
SDE4,SDE4,634,70,205,46,8,3,282,24,21,8
SDE4 (2),SDE4 (2),634,70,205,46,8,3,282,24,21,8
ERC,ERC,57,40,0,0,0,0,3,0,0,0
EA,EA,249,27,1,5,30,0,22,0,0,13
BIZ1,BIZ1,40,20,0,0,9,0,3,0,0,0
ALUMNI,ALUMNI,28,9,0,0,8,0,0,0,1,0
E1,E1,36,3,8,0,0,0,19,0,0,1
SDE1,SDE1,248,2,25,80,3,3,83,0,19,2
SDE3,SDE3,136,0,0,9,0,2,32,0,2,0
SDE2,SDE2,31,0,12,7,0,3,14,2,2,15
E2,E2,761,0,610,0,24,0,28,5,5,0
E3,E3,46,0,8,0,0,3,28,0,0,0
CLB,CLB,24,0,0,0,0,3,24,0,0,0
E7,E7,27,0,0,0,0,3,24,0,0,0
E6,E6,29,0,0,0,0,3,19,0,0,0
E8,E8,46,0,0,0,0,3,19,0,0,0
COM3,COM3,18,0,0,0,0,3,18,0,0,0
MD2,MD2,16,0,0,0,0,3,16,0,0,0
E4,E4,67,0,0,0,0,0,45,0,0,0
E5,E5,53,0,0,0,0,0,35,0,0,0
HSSML,HSSML,60,0,0,0,0,0,30,3,0,0
AS1,AS1,10,0,0,0,0,0,10,0,0,0
AS2,AS2,7,0,0,0,0,0,7,0,0,0
AS3,AS3,7,0,0,0,0,0,7,0,0,0
AS4,AS4,3,0,0,0,0,0,3,0,0,0
AS5,AS5,3,0,0,0,0,0,3,0,0,0
AS6,AS6,3,0,0,0,0,0,3,0,0,0
AS7,AS7,3,0,0,0,0,0,3,0,0,0
CAPT,CAPT,3,0,0,0,0,0,3,0,0,0
COM4,COM4,3,0,0,0,0,0,3,0,0,0
DECK,DECK,3,0,0,0,0,0,3,0,0,0
I-CUBE,I-CUBE,3,0,0,0,0,0,3,0,0,0
I4,I4,3,0,0,0,0,0,3,0,0,0
LT11,LT11,5,0,0,0,0,0,3,0,0,0
LT28,LT28,5,0,0,0,0,0,3,0,0,0
SUMMARY,Summary Table,75,0,0,0,0,0,0,0,0,0
AMM2,AMM2,14,0,0,0,0,0,0,0,0,0
LT1,LT1,7,0,0,0,0,0,0,0,0,0
LT10,LT10,2,0,0,0,0,0,0,0,0,0
LT12,LT12,2,0,0,0,0,0,0,0,0,0
LT13,LT13,2,0,0,0,0,0,0,0,0,0
LT14,LT14,2,0,0,0,0,0,0,0,0,0
LT15,LT15,2,0,0,0,0,0,0,0,0,0
LT16,LT16,2,0,0,0,0,0,0,0,0,0
LT17,LT17,2,0,0,0,0,0,0,0,0,0
LT18,LT18,2,0,0,0,0,0,0,0,0,0
LT19,LT19,2,0,0,0,0,0,0,0,0,0
LT2,LT2,7,0,0,0,0,0,0,0,0,0
LT21,LT21,2,0,0,0,0,0,0,0,0,0
LT26,LT26,2,0,0,0,0,0,0,0,0,0
LT27,LT27,2,0,0,0,0,0,0,0,0,0
LT29,LT29,2,0,0,0,0,0,0,0,0,0
LT3,LT3,2,0,0,0,0,0,0,0,0,0
LT31,LT31,2,0,0,0,0,0,0,0,0,0
LT32,LT32,2,0,0,0,0,0,0,0,0,0
LT33,LT33,2,0,0,0,0,0,0,0,0,0
LT34,LT34,2,0,0,0,0,0,0,0,0,0
LT4,LT4,2,0,0,0,0,0,0,0,0,0
LT421,LT421,10,0,0,0,0,0,0,0,0,0
LT422,LT422,8,0,0,0,0,0,0,0,0,0
LT423,LT423,8,0,0,0,0,0,0,0,0,0
LT424,LT424,8,0,0,0,0,0,0,0,0,0
LT425,LT425,8,0,0,0,0,0,0,0,0,0
LT426,LT426,8,0,0,0,0,0,0,0,0,0
LT427,LT427,9,0,0,0,0,0,0,0,0,0
LT5,LT5,2,0,0,0,0,0,0,0,0,0
LT6,LT6,2,0,0,0,0,0,0,0,0,0
LT7,LT7,3,0,0,0,0,0,0,0,0,0
LT8,LT8,2,0,0,0,0,0,0,0,0,0
LT9,LT9,2,0,0,0,0,0,0,0,0,0
